mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
بريدة,حي خب الكيفة,شرق,سكني أو تجاري,30.0,613,350,214550
الدلم,حي الشفاء,شمال,سكني أو تجاري,25.0,546,500,273000
عنيزة,حي الخالدية,جنوب,سكني,20.0,575,478,274850
الرياض,حي الحمراء,شمال,سكني,20.0,580,3000,1740000
بريدة,حي العريمضي,شرق,سكني,25.0,433,440,190520
الرياض,حي طويق,جنوب,تجاري,60.0,900,2200,1980000
المدينة المنورة,حي البلقاء,شمال شرقي,تجاري,100.0,2500,3500,8750000
بريدة,حي الشقة,غرب,سكني,15.0,435,240,104400
المدينة المنورة,حي السكب,شمال,سكني أو تجاري,30.0,244137,280,68358360
الرياض,حي ظهرة لبن,جنوب,سكني,20.0,450,1150,517500
بريدة,حي النقع الشرقية,شرق,سكني,20.0,437,430,187910
الرياض,حي ضاحية نمار,جنوب,سكني,15.0,998,501,499998
بريدة,حي العريمضي,شرق,سكني أو تجاري,25.0,439,440,193160
جدة,حي الصالحية,غرب,سكني,16.0,870,1379,1199730
الرياض,حي المصفاة,شمال,تجاري,30.0,750,480,360000
الرياض,حي الندى,شرق,سكني,15.0,360,3600,1296000
الخبر,حي الروابي,جنوب شرقي,تجاري,60.0,45000,2200,99000000
الرياض,حي الحمراء,جنوب,سكني أو تجاري,20.0,875,3000,2625000
الرياض,حي قرطبة,جنوب,سكني,15.0,1128,2659,2999352
الرياض,حي الدار البيضاء,شمال شرقي,سكني أو تجاري,36.0,1050,1690,1774500
جدة,حي الياقوت,شمال,سكني,32.0,300,2250,675000
الدمام,حي الخليج,غرب,سكني,20.0,81,20,1620
الخبر,حي الصواري,شمال غربي,سكني,15.0,556,1250,695000
الرياض,حي الخزامى,شرق,سكني,10.0,400,3500,1400000
الرياض,حي بنبان,شمال,سكني,15.0,375,695,260625
جدة,حي الرياض,شرق,سكني أو تجاري,35.0,899,500,449500
الرياض,حي القادسية,شمال,سكني,15.0,325,2280,741000
الرياض,حي الخزامى,3 شوارع,سكني أو تجاري,20.0,6650,4100,27265000
الخبر,حي اللؤلؤ,شرق,سكني,30.0,1000,900,900000
الرياض,حي حطين,جنوب شرقي,سكني,15.0,1575,4500,7087500
الرياض,حي الملقا,3 شوارع,سكني أو تجاري,30.0,6400,4500,28800000
الرياض,حي اليرموك,شرق,سكني أو تجاري,20.0,747,2400,1792800
الرياض,حي المهدية,جنوب,سكني أو تجاري,35.0,400,1400,560000
الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3900,3510000
الرياض,حي الملقا,4 شوارع,تجاري,36.0,21563,3000,64689000
الرياض,حي الصحافة,شمال غربي,سكني,15.0,300,3500,1050000
الخبر,حي المرجان,شمال,تجاري,60.0,875,1097,959875
الرياض,حي عرقة,شمال,سكني,15.0,490,2250,1102500
الرياض,حي القادسية,جنوب,سكني,25.0,402,2300,924600
الرياض,حي بنبان,غرب,سكني,15.0,375,630,236250
الرياض,حي عرقة,شمال شرقي,سكني,25.0,500,3000,1500000
الرياض,حي عرقة,شمال شرقي,سكني,25.0,1025,3000,3075000
الرياض,حي النرجس,شرق,سكني,15.0,375,3300,1237500
الرياض,حي الملقا,جنوب شرقي,سكني,18.0,750,4100,3075000
الرياض,حي الياسمين,جنوب,سكني أو تجاري,36.0,750,4200,3150000
الرياض,حي المونسية,جنوب,سكني,15.0,300,2450,735000
الرياض,حي الندى,شرق,سكني,15.0,750,3500,2625000
الرياض,حي النرجس,شمال,تجاري,36.0,1087,3700,4021900
الخبر,حي العقيق,شرق,سكني,20.0,500,870,435000
الرياض,حي عرقة,غرب,سكني,20.0,625,3000,1875000
بريدة,حي الرحاب,شمال شرقي,تجاري,40.0,6128,750,4596000
الرياض,حي حطين,شرق,سكني,19.0,700,4000,2800000
الخبر,حي اللؤلؤ,شرق,سكني,30.0,1000,950,950000
الخبر,حي التحلية,جنوب غربي,سكني أو تجاري,30.0,900,1250,1125000
الخبر,حي اللؤلؤ,جنوب,سكني,20.0,1000,900,900000
الرياض,حي السلام,شمال,سكني,20.0,337,2350,791950
الرياض,حي الربيع,شمال غربي,سكني,15.0,982,3800,3731600
الرياض,حي الملقا,شرق,سكني,18.0,437,4300,1879100
الرياض,حي الملقا,جنوب,سكني,18.0,750,4100,3075000
الخبر,حي الكوثر,غرب,سكني,40.0,770,909,699930
الرياض,حي النرجس,غرب,سكني,15.0,312,3000,936000
الرياض,حي النرجس,شرق,سكني,15.0,312,3000,936000
الرياض,حي الملقا,جنوب,سكني,15.0,446,4300,1917800
الرياض,حي السعادة,شمال غربي,سكني,20.0,644,1900,1223600
الرياض,حي عكاظ,شمال,سكني,20.0,360,1240,446400
الرياض,حي المهدية,4 شوارع,سكني,15.0,829,844,699676
الرياض,حي السليمانية,جنوب,سكني,15.0,613,3100,1900300
الرياض,حي بنبان,شرق,سكني,20.0,750,700,525000
الرياض,حي عرقة,جنوب,سكني,16.0,441,2400,1058400
الخبر,حي التحلية,شمال غربي,سكني,15.0,790,1500,1185000
الرياض,حي الملقا,غرب,سكني أو تجاري,20.0,900,3800,3420000
الرياض,حي العارض,غرب,سكني,15.0,1200,2000,2400000
الخبر,حي الرجاء,شرق,سكني,15.0,345,1014,349830
الرياض,حي الندى,شمال,سكني,15.0,420,3900,1638000
الرياض,حي عرقة,شرق,سكني,20.0,525,3100,1627500
الرياض,حي النرجس,جنوب شرقي,سكني,20.0,1055,3400,3587000
الرياض,حي الملقا,جنوب,سكني,20.0,343,4200,1440600
الرياض,حي العقيق,شمال شرقي,سكني,20.0,1030,2912,2999360
جدة,حي الزمرد,غرب,سكني,25.0,1680,446,749280
الدرعية,حي الدرعية الجديدة,شرق,سكني أو تجاري,30.0,600,1750,1050000
الدرعية,حي الخالدية,3 شوارع,سكني,25.0,3680,3500,12880000
الرياض,حي العقيق,جنوب غربي,سكني,20.0,900,3000,2700000
الرياض,حي الصحافة,جنوب,سكني,15.0,810,3000,2430000
ثول,حي ثول,شمال,سكني,16.0,900,255,229500
الرياض,حي الياسمين,شمال,سكني,15.0,918,3000,2754000
الرياض,حي الخزامى,4 شوارع,سكني,20.0,7000,3300,23100000
الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60.0,6200,7500,46500000
الرياض,حي الياسمين,جنوب غربي,سكني,20.0,1590,3400,5406000
الرياض,حي النرجس,جنوب,سكني أو تجاري,36.0,1800,3900,7020000
الرياض,حي السليمانية,شمال,تجاري,61.0,720,8000,5760000
الرياض,حي عرقة,شمال شرقي,سكني,15.0,616,3000,1848000
الرياض,حي الرمال,3 شوارع,سكني,15.0,312,2100,655200
الرياض,حي المونسية,شرق,سكني,18.0,300,2450,735000
جازان,حي الروابي,شرق,سكني أو تجاري,20.0,1051,285,299535
الخرج,حي مشرف,جنوب,سكني,25.0,780,359,280020
الرياض,حي العليا,شمال,سكني,10.0,400,3000,1200000
الدمام,حي السيف,شرق,سكني,20.0,600,1500,900000
الرياض,حي العقيق,شرق,سكني,15.0,450,3500,1575000
الرياض,حي الروضة,جنوب غربي,سكني,15.0,900,2200,1980000
الرياض,حي حطين,شرق,سكني,15.0,875,3400,2975000
الرياض,حي المونسية,4 شوارع,سكني,15.0,4516,2350,10612600
الرياض,حي الملقا,جنوب,سكني,28.0,700,4500,3150000
الرياض,حي النرجس,شمال غربي,سكني,15.0,900,3000,2700000
الرياض,حي الفلاح,جنوب,سكني,15.0,1600,3500,5600000
الرياض,حي الياسمين,جنوب غربي,تجاري,35.0,1800,4400,7920000
الرياض,حي عرقة,جنوب,سكني,15.0,800,3000,2400000
الرياض,حي قرطبة,شمال,سكني,15.0,720,3000,2160000
الرياض,حي الملقا,غرب,سكني,28.0,1904,4000,7616000
الرياض,حي الملقا,جنوب غربي,سكني,30.0,500,4000,2000000
الخبر,حي اللؤلؤ,غرب,سكني,20.0,1000,780,780000
الرياض,حي بنبان,جنوب,سكني أو تجاري,20.0,850,900,765000
الرياض,حي النخيل,غرب,سكني,15.0,1350,4500,6075000
الرياض,حي الملقا,جنوب,سكني,15.0,903,3900,3521700
الرياض,حي بنبان,3 شوارع,سكني أو تجاري,60.0,7620,3200,24384000
الرياض,حي حطين,جنوب,سكني,15.0,837,4000,3348000
الرياض,حي الخزامى,شمال,تجاري,36.0,1020,4000,4080000
الرياض,حي حطين,شرق,سكني,25.0,1350,3500,4725000
الرياض,حي الوادي,شمال,سكني,15.0,325,2850,926250
الرياض,حي الملقا,جنوب غربي,سكني,20.0,875,4000,3500000
الرياض,حي النرجس,شمال,سكني,15.0,500,2900,1450000
الرس,حي الحزم,شمال,سكني,25.0,840,535,449400
الرياض,حي الدار البيضاء,شرق,سكني أو تجاري,40.0,2501,1300,3251300
جدة,حي الشراع,شمال,سكني,15.0,380,2368,899840
الرياض,حي الملك عبدالله,3 شوارع,تجاري,85.0,6100,4000,24400000
الرياض,حي بنبان,جنوب,سكني,15.0,750,750,562500
الرياض,حي الوادي,شمال غربي,سكني,15.0,350,3714,1299900
الرياض,حي ظهرة نمار,غرب,سكني,20.0,1800,1500,2700000
الرس,حي الحزم,غرب,سكني,15.0,412,716,294992
الرياض,حي المروة,جنوب شرقي,سكني أو تجاري,36.0,1017,1200,1220400
الرياض,حي الملقا,شمال,سكني,40.0,658,3500,2303000
الرياض,حي عكاظ,غرب,تجاري,30.0,1105,1000,1105000
الخبر,حي الحمرا,غرب,سكني,40.0,791,2000,1582000
الخبر,حي الحزام الذهبي,شمال,سكني,15.0,600,3200,1920000
الرياض,حي قرطبة,جنوب,سكني أو تجاري,30.0,810,3200,2592000
جدة,حي الغليل,شمال غربي,سكني أو تجاري,30.0,2700,3750,10125000
الرياض,حي المهدية,شمال,سكني,20.0,600,1166,699600
الرياض,حي العقيق,3 شوارع,سكني,20.0,9000,4000,36000000
جدة,حي الزمرد,غرب,سكني,16.0,450,1166,524700
الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60.0,2135,8000,17080000
الخبر,حي اللؤلؤ,شرق,سكني,40.0,803,709,569327
الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4400,9240000
الخبر,حي المرجان,شمال شرقي,سكني,20.0,1082,554,599428
الرياض,حي القادسية,جنوب شرقي,سكني,20.0,665,2100,1396500
الرياض,حي الملقا,شرق,سكني,15.0,350,4300,1505000
الرياض,حي المونسية,شمال,سكني,15.0,535,2700,1444500
الرياض,حي المونسية,جنوب شرقي,سكني,15.0,288,2700,777600
الرياض,حي عرقة,شرق,سكني,15.0,300,3300,990000
الدرعية,حي الدرعية الجديدة,جنوب شرقي,سكني,15.0,3000,400,1200000
الرياض,حي الملقا,شمال شرقي,سكني,25.0,825,4500,3712500
الرياض,حي النخيل,غرب,سكني,12.0,300,4400,1320000
الرياض,حي الروضة,جنوب,سكني,15.0,412,2400,988800
الرياض,حي اليرموك,غرب,تجاري,60.0,807,3500,2824500
الرياض,حي النخيل,غرب,سكني,12.0,276,4500,1242000
الرياض,حي المونسية,غرب,سكني,15.0,401,1550,621550
الرياض,حي النرجس,شرق,سكني,20.0,500,3500,1750000
الرياض,حي الياسمين,شمال,سكني,15.0,675,3500,2362500
الرياض,حي حطين,شمال غربي,تجاري,40.0,900,4500,4050000
الرياض,حي النرجس,شمال شرقي,سكني أو تجاري,20.0,1050,3000,3150000
جدة,حي الشراع,جنوب,سكني,16.0,600,2166,1299600
الرياض,حي الرمال,شمال,سكني,20.0,448,1550,694400
الرياض,حي حطين,شمال,سكني,30.0,700,4900,3430000
الرياض,حي عريض,شرق,سكني,20.0,1000,700,700000
الرياض,حي الشرق,غرب,سكني,15.0,750,280,210000
الرياض,حي الملقا,جنوب شرقي,سكني,20.0,1200,3500,4200000
الرياض,حي القادسية,شرق,سكني,15.0,500,2000,1000000
الرياض,حي المهدية,غرب,سكني,25.0,424,1415,599960
الرياض,حي الياسمين,غرب,سكني,15.0,375,3500,1312500
الرياض,حي الملقا,شمال,سكني,20.0,450,4000,1800000
الدمام,حي الجامعيين,3 شوارع,سكني,30.0,1951,1500,2926500
الرياض,حي الجنادرية,4 شوارع,سكني أو تجاري,100.0,20884,1680,35085120
الرياض,حي الملقا,شمال غربي,سكني,15.0,726,4000,2904000
الرياض,حي اليرموك,جنوب غربي,سكني,20.0,884,2500,2210000
الرياض,حي الملقا,شمال شرقي,سكني,18.0,810,4000,3240000
الرياض,حي المحمدية,شرق,سكني أو تجاري,25.0,600,4900,2940000
الرياض,حي الحمراء,جنوب غربي,سكني,20.0,1282,3900,4999800
الرياض,حي الوادي,شرق,سكني,15.0,300,3200,960000
الرياض,حي النرجس,جنوب غربي,سكني,15.0,1119,3500,3916500
الرياض,حي النرجس,جنوب غربي,سكني,15.0,1120,3500,3920000
الرياض,حي الياسمين,جنوب شرقي,سكني,20.0,1456,4000,5824000
الرياض,حي الملقا,جنوب,سكني,15.0,875,4000,3500000
الرياض,حي القيروان,شمال,سكني,30.0,1535,3000,4605000
الرياض,حي ضاحية نمار,جنوب,سكني,20.0,750,933,699750
الرياض,حي اليرموك,شرق,تجاري,30.0,900,2600,2340000
الرياض,حي الياسمين,شمال,سكني,15.0,918,3200,2937600
الرياض,حي العقيق,شرق,سكني,20.0,637,3300,2102100
الدرعية,حي الخالدية,4 شوارع,سكني أو تجاري,20.0,14250,3000,42750000
الرياض,حي النخيل,شرق,سكني,20.0,1125,3000,3375000
الرياض,حي النرجس,3 شوارع,سكني,15.0,380,3000,1140000
الرياض,حي حطين,3 شوارع,سكني,20.0,8050,3300,26565000
الرياض,حي العارض,جنوب شرقي,سكني,18.0,1263,2600,3283800
الرياض,حي المروج,شرق,سكني,15.0,690,3000,2070000
الرياض,حي الرمال,شمال,سكني,20.0,360,1700,612000
الخبر,حي التحلية,جنوب غربي,سكني,20.0,600,1450,870000
الخبر,حي التحلية,شرق,سكني,15.0,357,1540,549780
الرياض,حي قرطبة,شرق,سكني,38.0,800,3750,3000000
مكة المكرمة,حي الملك فهد,غرب,سكني أو تجاري,36.0,620,1129,699980
المدينة المنورة,حي السكب,جنوب,سكني,25.0,800,800,640000
الخبر,حي الامواج,جنوب,سكني,20.0,815,797,649555
الرياض,حي طويق,شرق,سكني,20.0,750,1500,1125000
ثول,حي ثول,جنوب,سكني,16.0,900,177,159300
الرياض,حي غرناطة,غرب,سكني,10.0,900,1850,1665000
الخبر,حي الامواج,غرب,سكني,60.0,823,1100,905300
الرياض,حي العقيق,جنوب غربي,تجاري,30.0,500,3800,1900000
الرياض,حي حطين,شرق,سكني,15.0,875,3600,3150000
الرياض,حي عرقة,جنوب,سكني,12.0,800,2200,1760000
الرياض,حي الملقا,شرق,سكني,15.0,1489,3800,5658200
الرياض,حي العقيق,شرق,سكني,20.0,637,3150,2006550
بريدة,حي الحمر,شمال شرقي,سكني,15.0,540,620,334800
الرياض,حي قرطبة,جنوب شرقي,سكني,15.0,720,3000,2160000
الرياض,حي الملقا,جنوب,سكني,15.0,343,4200,1440600
الرياض,حي الملقا,شمال شرقي,سكني,28.0,6400,4200,26880000
الرياض,حي حطين,شرق,سكني,15.0,469,3800,1782200
الرياض,حي الحمراء,غرب,سكني,25.0,1237,3100,3834700
الرياض,حي قرطبة,جنوب,سكني,15.0,495,2800,1386000
الرياض,حي الروضة,جنوب غربي,سكني,15.0,900,2222,1999800
الرياض,حي بنبان,جنوب,سكني,15.0,760,698,530480
الخبر,حي العقيق,شرق,سكني,16.0,720,791,569520
الرياض,حي المونسية,شمال,سكني,15.0,362,2350,850700
الرياض,حي الصحافة,3 شوارع,تجاري,60.0,5040,9000,45360000
بريدة,حي مخطط الرواف,جنوب,سكني أو تجاري,40.0,792,1650,1306800
الخرج,حي مشرف,جنوب,سكني أو تجاري,35.0,661,340,224740
الرياض,حي الملقا,شرق,سكني,15.0,675,3500,2362500
الرياض,حي النرجس,شرق,سكني,15.0,444,2400,1065600
الرياض,حي ظهرة لبن,شرق,سكني أو تجاري,40.0,900,1100,990000
الرياض,حي الشرق,غرب,سكني,15.0,810,308,249480
الرياض,حي العليا,غرب,سكني,10.0,375,3200,1200000
الرياض,حي قرطبة,جنوب غربي,سكني,15.0,1375,3200,4400000
الرياض,حي اليرموك,شمال غربي,سكني,15.0,687,2700,1854900
الرياض,حي النرجس,4 شوارع,تجاري,36.0,3900,3000,11700000
جازان,حي السويس,غرب,تجاري,30.0,640,1093,699520
جدة,حي الشراع,شمال شرقي,سكني,20.0,500,2300,1150000
بريدة,حي الاخضر,جنوب,سكني,15.0,2314,2000,4628000
الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,100.0,5155,3000,15465000
الرياض,حي السلي,3 شوارع,تجاري,60.0,2731,1100,3004100
جدة,حي الشراع,غرب,سكني,25.0,900,2222,1999800
الرياض,حي الملقا,غرب,سكني,18.0,951,3750,3566250
الخبر,حي التحلية,شمال شرقي,سكني,40.0,2125,1300,2762500
الرياض,حي المونسية,جنوب,سكني,15.0,800,2550,2040000
الخبر,حي اللؤلؤ,شمال,سكني,40.0,1000,800,800000
رابغ,حي الصليب الشرقي,جنوب,سكني,15.0,736,169,124384
الرياض,حي قرطبة,جنوب,سكني,15.0,720,2500,1800000
الرياض,حي النرجس,شرق,سكني أو تجاري,15.0,525,3150,1653750
الرياض,حي النرجس,شرق,سكني,15.0,450,3300,1485000
الرياض,حي السلي,شرق,سكني أو تجاري,5.0,780,1550,1209000
الرياض,حي الملقا,شمال,سكني,20.0,1015,4000,4060000
الرياض,حي بنبان,جنوب شرقي,سكني,20.0,9702,600,5821200
الرياض,حي الصحافة,جنوب,سكني,20.0,810,3000,2430000
الرياض,حي الملقا,3 شوارع,سكني,25.0,6600,3500,23100000
جدة,حي الياقوت,جنوب,سكني,16.0,312,1602,499824
الرياض,حي بنبان,شمال,سكني أو تجاري,20.0,733,700,513100
الرياض,حي الملقا,غرب,سكني,15.0,525,4200,2205000
الرياض,حي حطين,شرق,سكني,35.0,5000,4300,21500000
الخبر,حي البحيرة,جنوب شرقي,سكني,16.0,833,1300,1082900
الرياض,حي العارض,3 شوارع,سكني أو تجاري,30.0,3000,2400,7200000
الرياض,حي العارض,شمال,سكني,15.0,558,2450,1367100
الرياض,حي المهدية,شمال,سكني,25.0,439,1207,529873
الرياض,حي المونسية,شمال,سكني,15.0,300,2400,720000
الخبر,حي الامواج,شمال غربي,سكني,60.0,120000,350,42000000
جدة,حي الفردوس,شمال,تجاري,30.0,400,4000,1600000
الرياض,حي بنبان,شمال,سكني,20.0,744,585,435240
جدة,حي الزمرد,شرق,سكني,16.0,900,655,589500
الرياض,حي الحمراء,شرق,سكني أو تجاري,36.0,1128,4000,4512000
الرياض,حي النرجس,شمال,سكني,15.0,900,2950,2655000
الرياض,حي المهدية,شمال غربي,سكني,15.0,418,1555,649990
الرياض,حي ظهرة لبن,شرق,سكني أو تجاري,40.0,852,1800,1533600
الدرعية,حي الخالدية,شمال,سكني,18.0,750,3400,2550000
الرياض,حي الازدهار,شمال غربي,سكني,20.0,690,3500,2415000
الرياض,حي عرقة,شمال,سكني,20.0,1200,2800,3360000
الرياض,حي ضاحية نمار,غرب,سكني أو تجاري,20.0,800,1000,800000
الرياض,حي الاندلس,جنوب,سكني أو تجاري,30.0,750,3066,2299500
الرياض,حي الحمراء,جنوب,سكني,25.0,1155,4000,4620000
الرياض,حي المروج,جنوب شرقي,تجاري,30.0,900,4500,4050000
الرياض,حي المهدية,غرب,سكني,20.0,900,1000,900000
الرياض,حي عرقة,شمال شرقي,سكني,25.0,525,2850,1496250
الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4400,1760000
الرياض,حي المهدية,شمال غربي,سكني,20.0,900,1300,1170000
الرياض,حي الملقا,شمال غربي,سكني,18.0,951,4000,3804000
الرياض,حي بنبان,شمال,سكني أو تجاري,20.0,375,800,300000
الرياض,حي عرقة,شمال,تجاري,30.0,600,3200,1920000
الرياض,حي عرقة,غرب,سكني,12.0,416,2300,956800
الرياض,حي الشهداء,شمال شرقي,تجاري,36.0,900,5000,4500000
الرياض,حي ظهرة لبن,غرب,تجاري,30.0,750,1750,1312500
الرياض,حي الياسمين,جنوب,تجاري,36.0,750,4250,3187500
الرياض,حي الياسمين,جنوب,تجاري,37.0,750,4250,3187500
الرياض,حي الخزامى,شمال,سكني أو تجاري,30.0,1020,4000,4080000
الرياض,حي المرسلات,جنوب غربي,سكني,20.0,1768,3000,5304000
الخبر,حي اللؤلؤ,شرق,سكني,19.0,600,850,510000
الرياض,حي النرجس,شمال غربي,سكني,20.0,540,3500,1890000
الرياض,حي ظهرة لبن,شمال,تجاري,60.0,900,1889,1700100
الرياض,حي عرقة,غرب,سكني,30.0,625,3200,2000000
الرياض,حي عرقة,شمال,سكني,20.0,2300,3700,8510000
الرياض,حي الملقا,شمال,سكني,18.0,375,4100,1537500
الرياض,حي الوادي,شمال غربي,سكني,15.0,608,3200,1945600
الدمام,حي المنار,شمال,سكني,25.0,750,1600,1200000
الرياض,حي النرجس,شمال شرقي,سكني,15.0,1050,3000,3150000
المدينة المنورة,حي السكة الحديدية,شمال,سكني,14.0,566,971,549586
الرياض,حي النرجس,شمال,سكني,15.0,800,2800,2240000
الرياض,حي الملقا,شرق,سكني,25.0,1620,3800,6156000
الرياض,حي بنبان,3 شوارع,سكني,20.0,1606,622,998932
جازان,حي القلعة,شرق,سكني,30.0,5000,11000,55000000
الرياض,حي حطين,شمال شرقي,سكني,15.0,4483,4000,17932000
الرياض,حي النرجس,غرب,سكني,20.0,1350,3100,4185000
مكة المكرمة,حي العوالي,شمال,سكني,12.0,500,200,100000
الرياض,حي النرجس,جنوب,سكني,15.0,875,3000,2625000
الرياض,حي الرائد,شرق,سكني,20.0,1400,4000,5600000
الرياض,حي النرجس,جنوب غربي,تجاري,30.0,900,4000,3600000
الرياض,حي الياسمين,شمال,سكني,15.0,918,3400,3121200
الرياض,حي بنبان,شرق,سكني,15.0,324,772,250128
جدة,حي ام حبلين,غرب,سكني,5.0,630,2381,1500030
الخبر,حي الجسر,غرب,سكني,15.0,583,1350,787050
الرياض,حي النرجس,غرب,سكني,20.0,1350,3150,4252500
الرياض,حي اليرموك,شرق,سكني,15.0,350,2400,840000
الرياض,حي عرقة,3 شوارع,سكني,15.0,5400,2800,15120000
الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,4200,3213000
الرياض,حي حطين,شرق,سكني,15.0,437,3750,1638750
الرياض,حي الروضة,جنوب غربي,سكني,20.0,625,2880,1800000
مكة المكرمة,حي الخضراء,غرب,سكني أو تجاري,24.0,750,2858,2143500
الرياض,حي المرسلات,شرق,سكني,20.0,550,3000,1650000
الرياض,حي الصحافة,جنوب,سكني,14.0,7000,3200,22400000
الرياض,حي النرجس,غرب,سكني,15.0,909,3000,2727000
الرياض,حي الملقا,شمال,سكني,15.0,750,4200,3150000
الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36.0,3900,2800,10920000
الخبر,حي العقيق,شمال شرقي,سكني,20.0,380,973,369740
الرياض,حي قرطبة,جنوب,سكني أو تجاري,60.0,5280,3000,15840000
الرياض,حي حطين,جنوب,سكني,15.0,384,4100,1574400
الرياض,حي الملقا,شمال شرقي,سكني,20.0,900,3700,3330000
الرياض,حي عرقة,شمال,سكني,20.0,1200,2750,3300000
الرياض,حي عريض,جنوب,سكني,15.0,207,652,134964
الرياض,حي عرقة,جنوب,سكني,12.0,800,2100,1680000
الرياض,حي بنبان,جنوب,سكني,20.0,750,800,600000
المدينة المنورة,حي العزيزية,شرق,تجاري,100.0,750,1200,900000
الرياض,حي الرمال,3 شوارع,سكني,20.0,312,2100,655200
